Distancing measure, Percent Distancing, Percent Infected, Num Dead, Time to eradicate
STRICT, 0.74, 0.02, 7, 41962
STRICT, 0.74, 0.02, 14, 73597
STRICT, 0.74, 0.02, 0, 23493
STRICT, 0.74, 0.02, 10, 69630
STRICT, 0.74, 0.02, 0, 14030
STRICT, 0.74, 0.02, 2, 27441

STRICT, 0.74, 0.06, 20, 70839
STRICT, 0.74, 0.06, 10, 43590
STRICT, 0.74, 0.06, 8, 34677
STRICT, 0.74, 0.06, 0, 16403
STRICT, 0.74, 0.06, 30, 49493
STRICT, 0.74, 0.06, 22, 51746
STRICT, 0.74, 0.06, 10, 46432
STRICT, 0.74, 0.06, 23, 73417
STRICT, 0.74, 0.06, 2, 29140
STRICT, 0.74, 0.06, 26, 46448

STRICT, 0.74, 0.1, 29, 77625
STRICT, 0.74, 0.1, 28, 45286
STRICT, 0.74, 0.1, 22, 54063
STRICT, 0.74, 0.1, 22, 35895
STRICT, 0.74, 0.1, 22, 40777
STRICT, 0.74, 0.1, 35, 62341
STRICT, 0.74, 0.1, 23, 48840
STRICT, 0.74, 0.1, 20, 39161
STRICT, 0.74, 0.1, 20, 37281
STRICT, 0.74, 0.1, 28, 71337

STRICT, 0.74, 0.2, 25, 33274
STRICT, 0.74, 0.2, 35, 44087
STRICT, 0.74, 0.2, 38, 31136
STRICT, 0.74, 0.2, 42, 39135
STRICT, 0.74, 0.2, 28, 29595
STRICT, 0.74, 0.2, 40, 37703
STRICT, 0.74, 0.2, 32, 33791
STRICT, 0.74, 0.2, 42, 61848
STRICT, 0.74, 0.2, 34, 34020
STRICT, 0.74, 0.2, 39, 36661

STRICT, 0.74, 0.3, 33, 29034
STRICT, 0.74, 0.3, 44, 37538
STRICT, 0.74, 0.3, 43, 34491
STRICT, 0.74, 0.3, 33, 30668
STRICT, 0.74, 0.3, 44, 34877
STRICT, 0.74, 0.3, 23, 25756
STRICT, 0.74, 0.3, 28, 27631
STRICT, 0.74, 0.3, 32, 27862
STRICT, 0.74, 0.3, 45, 32090
STRICT, 0.74, 0.3, 46, 36249

STRICT, 0.5, 0.02, 36, 126737
STRICT, 0.5, 0.02, 31, 72357
STRICT, 0.5, 0.02, 29, 89220
STRICT, 0.5, 0.02, 11, 47269
STRICT, 0.5, 0.02, 5, 66418
STRICT, 0.5, 0.02, 22, 93525
STRICT, 0.5, 0.02, 40, 105101
STRICT, 0.5, 0.02, 0, 14026
STRICT, 0.5, 0.02, 32, 77018
STRICT, 0.5, 0.02, 35, 93970

STRICT, 0.5, 0.06, 22, 46261
STRICT, 0.5, 0.06, 41, 151769
STRICT, 0.5, 0.06, 32, 65666
STRICT, 0.5, 0.06, 28, 74133
STRICT, 0.5, 0.06, 20, 64421
STRICT, 0.5, 0.06, 30, 86662
STRICT, 0.5, 0.06, 31, 64284
STRICT, 0.5, 0.06, 30, 53605
STRICT, 0.5, 0.06, 32, 67892
STRICT, 0.5, 0.06, 28, 78163

STRICT, 0.5, 0.1, 37, 42801
STRICT, 0.5, 0.1, 30, 42174
STRICT, 0.5, 0.1, 32, 96968
STRICT, 0.5, 0.1, 30, 41852
STRICT, 0.5, 0.1, 41, 55325
STRICT, 0.5, 0.1, 37, 45097
STRICT, 0.5, 0.1, 40, 52945
STRICT, 0.5, 0.1, 45, 128850
STRICT, 0.5, 0.1, 31, 38564
STRICT, 0.5, 0.1, 25, 44646

STRICT, 0.5, 0.2, 35, 46223
STRICT, 0.5, 0.2, 28, 32941
STRICT, 0.5, 0.2, 35, 36442
STRICT, 0.5, 0.2, 41, 41316
STRICT, 0.5, 0.2, 34, 36024
STRICT, 0.5, 0.2, 31, 48752
STRICT, 0.5, 0.2, 37, 44012
STRICT, 0.5, 0.2, 37, 35356
STRICT, 0.5, 0.2, 45, 48517
STRICT, 0.5, 0.2, 33, 33878

STRICT, 0.5, 0.3, 44, 43329
STRICT, 0.5, 0.3, 33, 30465
STRICT, 0.5, 0.3, 37, 32810
STRICT, 0.5, 0.3, 35, 28343
STRICT, 0.5, 0.3, 41, 38975
STRICT, 0.5, 0.3, 42, 40541
STRICT, 0.5, 0.3, 33, 32784
STRICT, 0.5, 0.3, 23, 24250
STRICT, 0.5, 0.3, 29, 27333
STRICT, 0.5, 0.3, 39, 36099

STRICT, 0.24, 0.02, 34, 120668
STRICT, 0.24, 0.02, 15, 55409
STRICT, 0.24, 0.02, 35, 70634
STRICT, 0.24, 0.02, 36, 122821
STRICT, 0.24, 0.02, 26, 68006
STRICT, 0.24, 0.02, 28, 77069
STRICT, 0.24, 0.02, 38, 82782
STRICT, 0.24, 0.02, 0, 14023
STRICT, 0.24, 0.02, 0, 14030
STRICT, 0.24, 0.02, 31, 91181

STRICT, 0.24, 0.06, 31, 68973
STRICT, 0.24, 0.06, 37, 61093
STRICT, 0.24, 0.06, 34, 54644
STRICT, 0.24, 0.06, 40, 72461
STRICT, 0.24, 0.06, 38, 58789
STRICT, 0.24, 0.06, 41, 70651
